codFunc,codLogin,codEndereco,rg,nome,cpf,dataNasc,telefone,celular,horaEntra,horaSai,tipo,status
1,1,1,342342342,Felipe Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Gerente,true
2,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
3,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
4,1,1,342342342,Felipe Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Gerente,true
5,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
6,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
7,1,1,342342342,Felipe Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Gerente,true
8,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
10,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
11,1,1,342342342,Felipe Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Gerente,true
12,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
13,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
14,1,1,342342342,Felipe Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Gerente,true
15,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
16,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
17,1,1,342342342,Felipe Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Gerente,true
18,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
19,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
20,1,1,342342342,Felipe Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Gerente,true
21,1,1,342342342,Felipe Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Gerente,true
22,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
23,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
24,1,1,342342342,Felipe Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Gerente,true
25,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
26,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
27,1,1,342342342,Felipe Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Gerente,true
28,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
29,1,1,342342342,Maria Silva do Nascimento,34234234,04/07/1996,112341314,1123413,11:11, 12:12,Instrutor,true
